Date,Price,Open,High,Low,Vol.,Chg. %,
"8/9/21","46,293.0","43,770.0","46,432.2","42,792.0","10.72K","5.76%",
"8/8/21","43,770.0","44,589.0","45,249.0","43,300.0","8.16K","-1.84%",
"8/7/21","44,589.0","42,830.0","44,689.2","42,464.0","9.32K","4.11%",
"8/6/21","42,830.0","40,887.0","43,294.0","39,933.0","6.46K","4.75%",
"8/5/21","40,887.0","39,741.0","41,352.0","37,361.0","6.43K","2.85%",
"8/4/21","39,754.0","38,219.0","39,965.0","37,564.0","3.67K","4.05%",
"8/3/21","38,207.0","39,156.0","39,774.0","37,700.0","5.08K","-2.42%",
"8/2/21","39,156.0","39,922.0","40,441.0","38,716.0","4.62K","-1.92%",
"8/1/21","39,922.0","41,409.0","42,532.0","39,596.0","9.11K","-3.59%",
"7/31/21","41,409.0","42,169.0","42,317.0","41,051.0","5.07K","-1.80%",
"7/30/21","42,169.0","40,034.4","42,244.0","38,373.0","7.77K","5.31%",
"7/29/21","40,041.0","40,004.0","40,623.0","39,282.0","4.07K","0.09%",
"7/28/21","40,004.0","39,563.0","40,899.0","38,822.0","7.98K","1.11%",
"7/27/21","39,563.0","37,296.0","39,563.0","36,436.0","6.04K","6.08%",
"7/26/21","37,296.0","35,422.0","40,515.6","35,276.0","16.31K","5.34%",
"7/25/21","35,407.0","34,620.0","35,430.0","33,906.0","2.78K","4.62%",
"7/24/21","33,845.0","33,597.1","34,043.0","33,422.0","3.34K","0.74%",
"7/23/21","33,597.1","32,320.0","33,625.3","32,020.0","3.97K","3.95%",
"7/22/21","32,320.0","32,141.0","32,609.7","31,747.0","5.23K","0.56%",
"7/21/21","32,141.0","29,806.1","32,804.0","29,545.0","8.25K","7.83%",
"7/20/21","29,806.1","30,847.0","31,075.0","29,341.0","8.88K","-3.37%",
"7/19/21","30,847.0","31,824.0","31,924.0","30,514.0","12.80K","-3.07%",
"7/18/21","31,824.0","31,559.0","32,427.0","31,211.8","12.41K","0.84%",
"7/17/21","31,559.0","31,427.0","31,975.0","31,224.0","13.71K","0.41%",
"7/16/21","31,429.0","31,875.0","32,266.0","31,055.0","5.38K","-1.34%",
"7/15/21","31,857.0","32,822.6","33,194.0","31,170.0","6.96K","-2.94%",
"7/14/21","32,822.6","32,727.0","33,117.0","31,596.0","5.19K","0.29%",
"7/13/21","32,727.0","33,090.0","33,333.0","32,210.0","4.02K","-1.10%",
"7/12/21","33,090.0","34,239.0","34,624.0","32,616.0","8.41K","-3.36%",
"7/11/21","34,239.0","33,506.0","34,584.0","33,317.0","2.15K","2.19%",
"7/10/21","33,506.0","33,769.0","34,221.0","33,024.0","6.46K","-0.78%",
"7/9/21","33,769.0","32,873.9","34,044.0","32,574.0","6.66K","2.72%",
"7/8/21","32,873.9","33,886.0","33,939.0","32,063.0","14.29K","-2.99%",
"7/7/21","33,886.0","34,256.0","35,076.0","33,826.0","3.51K","-0.74%",
"7/6/21","34,140.0","33,668.0","34,858.8","33,668.0","8.81K","1.40%",
